filepath,start,stop,text
Pm01-10.mp3,0,8.96,कश्चित् कान्ताविरहगुरुणा स्वाधिकारात् प्रमत्तः
Pm01-10.mp3,8.98,18.68,शापेनास्तंगमितमहिमा वर्षभोग्येण भर्तुः
Pm01-10.mp3,18.7,27.5,यक्षश्चक्रे जनकतनयास्नानपुण्योदकेषु
Pm01-10.mp3,27.52,37.18,स्निग्धच्छायातरुषु वसतिं रामगिर्याश्रमेषु
Pm01-10.mp3,37.2,46.32,तस्मिन्नद्रौ कतिचिदबलाविप्रयुक्तः स कामी
Pm01-10.mp3,46.34,55.38,नीत्वा मासान् कनकवलयभ्रंशरिक्तप्रकोष्ठः
Pm01-10.mp3,55.4,64.02,आषाढस्य प्रथमदिवसे मेघमाश्लिष्टसानुं
Pm01-10.mp3,64.04,72.44,वप्रक्रीडापरिणतगजप्रेक्षणीयं ददर्श
Pm01-10.mp3,72.46,81.38,तस्य स्थित्वा कथमपि पुरः कौतुकाधानहेतोः
Pm01-10.mp3,81.4,89.52,अन्तर्बाष्पश्चिरमनुचरो राजराजस्य दध्यौ
Pm01-10.mp3,89.54,98.44,मेघालोके भवति सुखिनोप्यन्यथावृत्ति चेतः
Pm01-10.mp3,98.46,107.92,कण्ठाश्लेषप्रणयिनि जने किं पुनर्दूरसंस्थे
Pm01-10.mp3,107.94,117.84,प्रत्यासन्ने नभसि दयिताजीवितालम्बनार्थी
Pm01-10.mp3,117.86,127.42,जीमूतेन स्वकुशलमयीं हारयिष्यन् प्रवृत्तिम्
Pm01-10.mp3,127.44,137.3,स प्रत्यग्रैः कुटजकुसुमैः कल्पितार्घाय तस्मै
Pm01-10.mp3,137.32,146.34,प्रीतः प्रीतिप्रमुखवचनं स्वागतं व्याजहार
Pm01-10.mp3,146.36,154.88,धूमज्योतिःसलिलमरुतां संनिपातः क्व मेघः
Pm01-10.mp3,154.9,165.3,सन्देशार्थाः क्व पटुकरणैः प्राणिभिः प्रापणीयाः
Pm01-10.mp3,165.32,174.92,इत्यौत्सुक्यादपरिगणयन् गुह्यकस्तं ययाचे
Pm01-10.mp3,174.94,184.62,कामार्ता हि प्रकृतिकृपणाश्चेतनाचेतनेषु
Pm01-10.mp3,184.64,194.7,जातं वंशे भुवनविदिते पुष्करावर्तकानां
Pm01-10.mp3,194.72,204.88,जानामि त्वां प्रकृतिपुरुषं कामरूपं मघोनः
Pm01-10.mp3,204.9,214.34,तेनार्थित्वं त्वयि विधिवशाद् दूरबन्धुर्गतोहं
Pm01-10.mp3,214.36,224.7,याच्ञा मोघा वरमधिगुणे नाधमे लब्धकामा
Pm01-10.mp3,224.72,234.62,संतप्तानां त्वमसि शरणं तत् पयोद प्रियायाः
Pm01-10.mp3,234.64,244.04,संदेशं मे हर धनपतिक्रोधविश्लेषितस्य
